Time Period,m3,m6,y1,y2,y3,y5,y7,y10,,,,,,,,,
1/4/1982,11.87,13.16,13.56,13.87,14.06,14.15,14.16,14.19,,,,,,,,,
1/5/1982,12.2,13.41,13.83,14.09,14.34,14.41,14.42,14.44,,,,,,,,,
1/6/1982,12.16,13.46,13.91,14.19,14.41,14.6,14.73,14.59,,,,,,,,,
1/7/1982,12.17,13.43,13.93,14.33,14.48,14.66,14.81,14.63,,,,,,,,,
1/8/1982,11.98,13.35,13.75,14.11,14.33,14.47,14.6,14.48,,,,,,,,,
1/11/1982,12.49,13.84,14.31,14.55,14.69,14.83,14.92,14.81,,,,,,,,,
1/12/1982,12.52,13.74,14.18,14.49,14.59,14.7,14.75,14.62,,,,,,,,,
1/13/1982,12.7,13.97,14.51,14.78,14.77,14.86,14.9,14.83,,,,,,,,,
1/14/1982,13.17,13.91,14.41,14.71,14.74,14.69,14.77,14.7,,,,,,,,,
1/15/1982,12.74,14.01,14.53,14.81,14.85,14.86,14.87,14.82,,,,,,,,,
1/18/1982,13.41,14.09,14.53,14.83,14.89,14.77,14.82,14.75,,,,,,,,,
1/19/1982,13.13,14.2,14.59,14.79,14.82,14.79,14.83,14.8,,,,,,,,,
1/20/1982,13.51,14.31,14.75,15.02,15.01,14.9,14.86,14.81,,,,,,,,,
1/21/1982,13.65,14.42,14.8,14.96,14.86,14.75,14.73,14.62,,,,,,,,,
1/22/1982,13.63,14.46,14.94,15.06,15,14.85,14.78,14.69,,,,,,,,,
1/25/1982,14.06,14.61,14.89,14.93,14.9,14.8,14.73,14.62,,,,,,,,,
1/26/1982,13.65,14.24,14.53,14.7,14.71,14.63,14.57,14.54,,,,,,,,,
1/27/1982,13.4,14.02,14.39,14.57,14.66,14.62,14.55,14.51,,,,,,,,,
1/28/1982,12.84,13.64,13.98,14.33,14.33,14.33,14.32,14.29,,,,,,,,,
1/29/1982,13.08,13.76,14.04,14.24,14.26,14.24,14.23,14.14,,,,,,,,,
2/1/1982,14.77,15.09,15.08,15.04,14.89,14.79,14.67,14.58,,,,,,,,,
2/2/1982,14.49,14.8,14.74,14.85,14.69,14.61,14.52,14.47,,,,,,,,,
2/3/1982,14.64,14.99,14.83,14.93,14.85,14.73,14.7,14.69,,,,,,,,,
2/4/1982,14.38,14.97,14.83,14.96,14.89,14.82,14.77,14.76,,,,,,,,,
2/5/1982,14.63,14.84,14.75,14.89,14.86,14.72,14.65,14.65,,,,,,,,,
2/8/1982,15.04,15.2,15.09,15.09,15.11,14.94,14.89,14.88,,,,,,,,,
2/9/1982,14.91,15.36,15.19,15.15,15.16,15.02,14.98,14.95,,,,,,,,,
2/10/1982,14.88,15.23,15.05,15.08,15.05,14.89,14.85,14.81,,,,,,,,,
2/11/1982,15.06,15.28,15.12,15.07,14.89,14.8,14.74,14.71,,,,,,,,,
2/12/1982,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,
2/15/1982,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,
2/16/1982,15.49,15.67,15.23,15.04,14.98,14.68,14.54,14.53,,,,,,,,,
2/17/1982,15.31,15.63,15.22,15.18,15.01,14.73,14.52,14.5,,,,,,,,,
2/18/1982,14.58,14.95,14.79,14.99,14.81,14.45,14.32,14.28,,,,,,,,,
2/19/1982,14.17,14.96,14.87,14.94,14.72,14.44,14.3,14.24,,,,,,,,,
2/22/1982,13.13,14.02,14.1,14.35,14.27,13.97,13.89,13.87,,,,,,,,,
2/23/1982,12.93,13.84,14.04,14.33,14.25,14.03,13.99,13.93,,,,,,,,,
2/24/1982,12.83,13.74,13.94,14.24,14.17,13.98,13.93,13.87,,,,,,,,,
2/25/1982,12.79,13.83,14.07,14.25,14.17,14.01,13.95,13.91,,,,,,,,,
2/26/1982,13,14.11,14.27,14.44,14.44,14.12,14.08,14.03,,,,,,,,,
3/1/1982,12.81,13.85,13.93,14.25,14.15,13.97,13.96,13.85,,,,,,,,,
3/2/1982,13.22,13.78,13.88,14.14,14.06,13.87,13.88,13.74,,,,,,,,,
3/3/1982,12.85,13.67,13.75,14.09,14.01,13.77,13.78,13.69,,,,,,,,,
3/4/1982,12.85,13.37,13.49,13.9,13.84,13.61,13.61,13.61,,,,,,,,,
3/5/1982,12.86,13.36,13.49,13.79,13.74,13.57,13.6,13.59,,,,,,,,,
3/8/1982,12.68,13.18,13.36,13.71,13.7,13.57,13.61,13.67,,,,,,,,,
3/9/1982,12.93,13.38,13.57,13.93,13.8,13.72,13.69,13.69,,,,,,,,,
3/10/1982,13,13.5,13.64,13.97,13.83,13.75,13.74,13.73,,,,,,,,,
3/11/1982,13.24,13.86,13.99,14.25,14.17,14.03,13.98,13.95,,,,,,,,,
3/12/1982,13.4,13.95,14.08,14.35,14.21,14.04,14,13.97,,,,,,,,,
3/15/1982,13.47,14.01,14.17,14.43,14.27,14.11,14.05,13.96,,,,,,,,,
3/16/1982,13.33,13.88,14.01,14.35,14.18,14.04,13.95,13.91,,,,,,,,,
3/17/1982,13.36,13.83,13.93,14.15,14.11,14,13.94,13.88,,,,,,,,,
3/18/1982,13.45,13.95,14.07,14.24,14.17,14.01,13.92,13.87,,,,,,,,,
3/19/1982,13.69,14.1,14.2,14.35,14.24,14.06,13.96,13.89,,,,,,,,,
3/22/1982,13.26,13.73,13.92,14.09,14.08,13.91,13.82,13.74,,,,,,,,,
3/23/1982,13.11,13.68,13.89,14.07,14.09,13.89,13.81,13.72,,,,,,,,,
3/24/1982,13.39,13.83,14.02,14.14,14.18,14.1,14.03,13.91,,,,,,,,,
3/25/1982,13.35,13.86,14.01,14.24,14.22,14.09,14.01,13.9,,,,,,,,,
3/26/1982,13.69,14.11,14.21,14.35,14.32,14.18,14.11,14.01,,,,,,,,,
3/29/1982,14.16,14.42,14.47,14.53,14.57,14.39,14.3,14.16,,,,,,,,,
3/30/1982,14.15,14.46,14.45,14.63,14.51,14.41,14.34,14.19,,,,,,,,,
3/31/1982,13.99,14.27,14.3,14.52,14.52,14.39,14.37,14.18,,,,,,,,,
4/1/1982,13.87,14.17,14.21,14.42,14.37,14.26,14.25,14.1,,,,,,,,,
4/2/1982,13.95,14.16,14.17,14.44,14.39,14.26,14.23,14.1,,,,,,,,,
4/5/1982,13.76,13.99,14.06,14.37,14.37,14.28,14.27,14.16,,,,,,,,,
4/6/1982,13.77,14.19,14.25,14.42,14.38,14.3,14.27,14.18,,,,,,,,,
4/7/1982,13.8,14.32,14.33,14.54,14.41,14.3,14.26,14.18,,,,,,,,,
4/8/1982,13.74,14.12,14.15,14.28,14.29,14.11,14.05,13.98,,,,,,,,,
4/9/1982,ND,ND,ND,ND,ND,ND,ND,ND,,,,,,,,,
4/12/1982,13.43,13.9,13.94,14.22,14.16,14.01,13.92,13.83,,,,,,,,,
4/13/1982,13.33,13.96,14.01,14.17,14.2,13.99,13.93,13.83,,,,,,,,,
4/14/1982,13.44,14.06,14.13,14.35,14.29,14.12,14.05,13.95,,,,,,,,,
4/15/1982,13.47,14.14,14.21,14.39,14.29,14.05,13.91,13.91,,,,,,,,,
4/16/1982,13.21,13.94,14.04,14.24,14.11,13.83,13.69,13.71,,,,,,,,,
4/19/1982,13.04,13.84,13.97,14.18,14.13,13.83,13.73,13.66,,,,,,,,,
